2019-04-10 23:57:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: NaN AVGPT: 0.00
2019-04-10 23:57:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 0 TPS: NaN AVGPT: 0.00
2019-04-10 23:57:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 0 TPS: NaN AVGPT: 0.00
2019-04-10 23:58:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [GROUP_GET_SIZE] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [GROUP_GET_FALL_TIME] [0@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 1
2019-04-10 23:58:00 INFO - [GROUP_GET_FALL_TIME] [1@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 1
2019-04-10 23:58:00 INFO - [GROUP_GET_FALL_TIME] [2@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 1
2019-04-10 23:58:00 INFO - [GROUP_GET_FALL_TIME] [3@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 1
2019-04-10 23:58:00 INFO - [GROUP_GET_LATENCY] [0@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [GROUP_GET_LATENCY] [1@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [GROUP_GET_LATENCY] [2@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [GROUP_GET_LATENCY] [3@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [BROKER_GET_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-10 23:58:00 INFO - [GROUP_GET_FALL_SIZE] [0@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 180
2019-04-10 23:58:00 INFO - [GROUP_GET_FALL_SIZE] [1@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 180
2019-04-10 23:58:00 INFO - [GROUP_GET_FALL_SIZE] [2@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 180
2019-04-10 23:58:00 INFO - [GROUP_GET_FALL_SIZE] [3@TopicTest@please_rename_unique_group_name_4] Stats Every 5 Minutes, Value: 180
2019-04-10 23:59:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 1000 TPS: 16.67 AVGPT: 0.00
2019-04-10 23:59:00 INFO - [GROUP_GET_SIZE] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 179890 TPS: 2998.52 AVGPT: 179.89
2019-04-10 23:59:00 INFO - [GROUP_GET_LATENCY] [0@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 5 TPS: 0.08 AVGPT: 0.02
2019-04-10 23:59:00 INFO - [GROUP_GET_LATENCY] [1@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 11 TPS: 0.18 AVGPT: 0.04
2019-04-10 23:59:00 INFO - [GROUP_GET_LATENCY] [2@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 2 TPS: 0.03 AVGPT: 0.01
2019-04-10 23:59:00 INFO - [GROUP_GET_LATENCY] [3@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 6 TPS: 0.10 AVGPT: 0.02
2019-04-10 23:59:00 INFO - [BROKER_GET_NUMS] [DefaultCluster] Stats In One Minute, SUM: 1000 TPS: 16.67 AVGPT: 0.00
2019-04-10 23:59:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 179890 TPS: 2998.52 AVGPT: 179.89
2019-04-10 23:59:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 1000 TPS: 16.67 AVGPT: 1.00
2019-04-10 23:59:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 1000 TPS: 16.67 AVGPT: 1.00
2019-04-11 00:00:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Day, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:00:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:00:00 INFO - [GROUP_GET_SIZE] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2019-04-11 00:00:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Hour, SUM: 0 TPS: 0.00 AVGPT: 0.00
